from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,245998324599863+366098+0,245998324599863+366421+0,1,
124,124,,,245998224599852+366350+0,245998324599863+366699+0,1,
124,124,,,245998224599863+366702+0,245998324599864+366354+0,1,
124,124,,,245998324599864+366098+0,245998324599864+366421+0,1,
124,124,,,245998224599853+366350+0,245998324599864+366699+0,1,
124,124,,,245998224599864+366702+0,245998324599865+366354+0,1,
124,124,,,245998324599865+366098+0,245998324599865+366421+0,1,
124,124,,,245998224599854+366350+0,245998324599865+366699+0,1,
76,76,,,245998224599931+367389+0,245998324600002+368187+0,1,
76,76,,,245999624599961+369085+0,245998324600002+368187+0,1,
76,76,,,245998324600002+367394+0,245998324600002+368199+0,1,
76,76,,,245998324600002+367398+0,245998324600002+368204+0,1,
33,33,,,245998224599931+368897+0,245998324600002+368354+0,1,
33,33,,,245999624599961+368876+0,245998324600002+368354+0,1,
33,33,,,245998324600002+368352+0,245998324600002+368896+0,1,
76,76,,,245998224599932+367389+0,245998324600003+368187+0,1,
76,76,,,245999724600002+367389+0,245998324600003+368187+0,1,
76,76,,,245998324600003+367394+0,245998324600003+368199+0,1,
76,76,,,245998324600003+367398+0,245998324600003+368204+0,1,
33,33,,,245998224599932+368897+0,245998324600003+368354+0,1,
33,33,,,245999724600002+368897+0,245998324600003+368354+0,1,
33,33,,,245998324600003+368352+0,245998324600003+368896+0,1,
76,76,,,245998224599933+367389+0,245998324600004+368187+0,1,
76,76,,,245999724600003+367389+0,245998324600004+368187+0,1,
76,76,,,245998324600004+367394+0,245998324600004+368199+0,1,
76,76,,,245998324600004+367398+0,245998324600004+368204+0,1,
33,33,,,245998224599933+368897+0,245998324600004+368354+0,1,
33,33,,,245999724600003+368897+0,245998324600004+368354+0,1,
33,33,,,245998324600004+368352+0,245998324600004+368896+0,1,
76,76,,,245998224599934+367389+0,245998324600005+368187+0,1,
76,76,,,245999724600004+367389+0,245998324600005+368187+0,1,
76,76,,,245998324600005+367394+0,245998324600005+368199+0,1,
76,76,,,245998324600005+367398+0,245998324600005+368204+0,1,
33,33,,,245998224599934+368897+0,245998324600005+368354+0,1,
33,33,,,245999724600004+368897+0,245998324600005+368354+0,1,
33,33,,,245998324600005+368352+0,245998324600005+368896+0,1,
124,124,,,245998924599891+366108+0,245998924599891+366425+0,1,
124,124,,,245998924599931+366646+0,245998924599921+366288+0,1,
124,124,,,245998924599931+366662+0,245998924599921+366303+0,1,
124,124,,,245998924599931+366843+0,245998924599921+366319+0,1,
124,124,,,245998924599931+366683+0,245998924599921+366327+0,1,
124,124,,,245998924599931+366778+0,245998924599921+366327+0,1,
124,124,,,245998924599931+366206+0,245998924599921+366514+0,1,
124,124,,,245998924599931+366251+1,245998924599921+366605+1,1,
124,124,,,245998924599931+366292+1,245998924599921+366650+0,1,
124,124,,,245998924599931+366299+0,245998924599921+366659+0,1,
124,124,,,245998924599931+366307+0,245998924599921+366666+0,1,
124,124,,,245998924599931+366322+0,245998924599921+366679+0,1,
124,124,,,245998924599932+366646+0,245998924599922+366288+0,1,
124,124,,,245998924599932+366662+0,245998924599922+366303+0,1,
124,124,,,245998924599932+366843+0,245998924599922+366319+0,1,
124,124,,,245998924599932+366683+0,245998924599922+366327+0,1,
124,124,,,245998924599932+366778+0,245998924599922+366327+0,1,
124,124,,,245998924599932+366206+0,245998924599922+366514+0,1,
124,124,,,245998924599932+366251+1,245998924599922+366605+1,1,
124,124,,,245998924599932+366292+1,245998924599922+366650+0,1,
124,124,,,245998924599932+366299+0,245998924599922+366659+0,1,
124,124,,,245998924599932+366307+0,245998924599922+366666+0,1,
124,124,,,245998924599932+366322+0,245998924599922+366679+0,1,
124,124,,,245998924599933+366646+0,245998924599923+366288+0,1,
124,124,,,245998924599933+366662+0,245998924599923+366303+0,1,
124,124,,,245998924599933+366843+0,245998924599923+366319+0,1,
124,124,,,245998924599933+366683+0,245998924599923+366327+0,1,
124,124,,,245998924599933+366778+0,245998924599923+366327+0,1,
124,124,,,245998924599933+366206+0,245998924599923+366514+0,1,
124,124,,,245998924599933+366251+1,245998924599923+366605+1,1,
124,124,,,245998924599933+366292+1,245998924599923+366650+0,1,
124,124,,,245998924599933+366299+0,245998924599923+366659+0,1,
124,124,,,245998924599933+366307+0,245998924599923+366666+0,1,
124,124,,,245998924599933+366322+0,245998924599923+366679+0,1,
124,124,,,245998924599934+366646+0,245998924599924+366288+0,1,
124,124,,,245998924599934+366662+0,245998924599924+366303+0,1,
124,124,,,245998924599934+366843+0,245998924599924+366319+0,1,
124,124,,,245998924599934+366683+0,245998924599924+366327+0,1,
124,124,,,245998924599934+366778+0,245998924599924+366327+0,1,
124,124,,,245998924599934+366206+0,245998924599924+366514+0,1,
124,124,,,245998924599934+366251+1,245998924599924+366605+1,1,
124,124,,,245998924599934+366292+1,245998924599924+366650+0,1,
124,124,,,245998924599934+366299+0,245998924599924+366659+0,1,
124,124,,,245998924599934+366307+0,245998924599924+366666+0,1,
124,124,,,245998924599934+366322+0,245998924599924+366679+0,1,
112,112,,,245998924599931+366214+0,245998924599931+366080+0,1,
112,112,,,245998924599931+366221+0,245998924599931+366082+0,1,
124,124,,,245998924599931+366419+0,245998924599931+366097+0,1,
124,124,,,245998924599931+366790+0,245998924599931+366097+0,1,
124,124,,,245998924599931+366429+0,245998924599931+366113+1,1,
124,124,,,245998924599931+366447+1,245998924599931+366133+1,1,
124,124,,,245998924599931+366458+1,245998924599931+366166+1,1,
124,124,,,245998924599931+366500+1,245998924599931+366204+1,1,
124,124,,,245998924599931+366519+1,245998924599931+366214+0,1,
124,124,,,245998924599931+366530+0,245998924599931+366221+0,1,
124,124,,,245998924599931+366731+0,245998924599931+366221+0,1,
124,124,,,245998924599931+366543+0,245998924599931+366232+0,1,
124,124,,,245998924599931+366734+0,245998924599931+366232+0,1,
124,124,,,245998924599931+366551+0,245998924599931+366234+0,1,
124,124,,,245998924599931+366555+0,245998924599931+366236+0,1,
